train_loss,train_acc,val_loss,val_acc,epoch
1.6662006707394377,0.5548758865248227,1.217027457115498,0.656063829787234,1
1.0956966362692786,0.6856648936170213,1.0167985177547374,0.7077127659574468,2
0.9045744571956337,0.7351063829787234,0.8616346375992957,0.7476063829787234,3
0.7722451181656925,0.7683421985815603,0.7626106829338886,0.7744148936170213,4
0.6831639176987587,0.7901063829787234,0.695745883545977,0.7872340425531915,5
0.6214758743208351,0.8064539007092199,0.6515330212420606,0.7963297872340426,6
0.5769627693781616,0.8180230496453901,0.611407040180044,0.8081382978723404,7
0.542129922441557,0.8283421985815603,0.5900324013385367,0.8164893617021277,8
0.5135077626696715,0.8346542553191489,0.5701501587350318,0.823404255319149,9
0.49102069111580543,0.8402482269503546,0.5522530586922423,0.8254787234042553,10
